iter	Passed	Remaining
0	42	42671
1	114	57137
2	181	60354
3	248	61940
4	312	62204
5	332	55005
6	364	51764
7	437	54212
8	512	56399
9	585	57957
10	621	55836
11	705	58120
12	790	60028
13	880	61987
14	960	63083
15	1033	63543
16	1098	63514
17	1169	63801
18	1234	63752
19	1312	64304
20	1394	64994
21	1489	66199
22	1575	66942
23	1654	67268
24	1691	65958
25	1769	66297
26	1838	66243
27	1933	67122
28	1955	65490
29	2017	65223
30	2110	65954
31	2188	66192
32	2274	66663
33	2357	66972
34	2448	67520
35	2518	67438
36	2605	67806
37	2616	66248
38	2694	66383
39	2768	66455
40	2822	66019
41	2916	66523
42	3001	66803
43	3028	65807
44	3113	66078
45	3198	66332
46	3277	66464
47	3298	65427
48	3387	65739
49	3463	65802
50	3499	65113
51	3590	65460
52	3682	65792
53	3710	65010
54	3786	65052
55	3870	65246
56	3876	64127
57	3897	63295
58	3972	63356
59	4027	63098
60	4039	62185
61	4067	61541
62	4148	61695
63	4233	61909
64	4311	62025
65	4405	62347
66	4491	62542
67	4575	62713
68	4662	62903
69	4738	62960
70	4814	63000
71	4896	63104
72	4907	62315
73	5003	62609
74	5075	62592
75	5126	62328
76	5146	61689
77	5236	61900
78	5327	62112
79	5417	62306
80	5504	62448
81	5510	61686
82	5608	61960
83	5701	62168
84	5790	62336
85	5864	62330
86	5954	62488
87	6036	62557
88	6121	62660
89	6196	62650
90	6283	62765
91	6364	62818
92	6378	62203
93	6476	62418
94	6545	62353
95	6565	61827
96	6589	61339
97	6673	61423
98	6711	61078
99	6788	61092
100	6872	61168
101	6945	61147
102	6958	60598
103	7080	60998
104	7184	61238
105	7268	61306
106	7304	60959
107	7397	61097
108	7408	60556
109	7439	60195
110	7517	60205
111	7525	59668
112	7609	59733
113	7699	59837
114	7781	59880
115	7871	59985
116	7962	60089
117	8032	60038
118	8038	59510
119	8128	59608
120	8224	59744
121	8244	59336
122	8344	59494
123	8426	59531
124	8512	59586
125	8595	59623
126	8603	59138
127	8696	59247
128	8788	59340
129	8808	58948
130	8896	59016
131	8986	59092
132	9028	58853
133	9128	58996
134	9220	59080
135	9310	59150
136	9401	59224
137	9510	59404
138	9570	59284
139	9585	58884
140	9674	58937
141	9684	58518
142	9692	58088
143	9791	58203
144	9879	58252
145	9996	58471
146	10107	58648
147	10141	58380
148	10160	58030
149	10252	58099
150	10266	57721
151	10295	57440
152	10317	57117
153	10402	57144
154	10415	56783
155	10502	56821
156	10521	56496
157	10598	56480
158	10683	56510
159	10762	56505
160	10850	56545
161	10931	56545
162	11049	56738
163	11168	56932
164	11176	56558
165	11280	56674
166	11287	56304
167	11378	56351
168	11464	56374
169	11561	56445
170	11652	56489
171	11746	56548
172	11761	56223
173	11780	55921
174	11888	56046
175	11899	55709
176	11986	55734
177	11998	55407
178	12093	55469
179	12099	55120
180	12184	55133
181	12207	54868
182	12224	54577
183	12241	54287
184	12272	54067
185	12353	54064
186	12441	54090
187	12491	53953
188	12524	53744
189	12530	53418
190	12545	53138
191	12562	52867
192	12609	52724
193	12693	52738
194	12790	52800
195	12841	52677
196	12936	52731
197	12987	52606
198	13085	52671
199	13182	52730
200	13266	52734
201	13404	52954
202	13420	52690
203	13521	52761
204	13629	52854
205	13735	52943
206	13744	52652
207	13810	52586
208	13899	52604
209	13923	52379
210	14048	52530
211	14062	52271
212	14175	52375
213	14209	52190
214	14295	52196
215	14406	52290
216	14470	52212
217	14479	51940
218	14574	51976
219	14605	51784
220	14632	51577
221	14651	51344
222	14679	51148
223	14760	51132
224	14784	50925
225	14867	50916
226	14874	50652
227	14978	50716
228	15072	50744
229	15179	50817
230	15275	50850
231	15390	50948
232	15485	50976
233	15518	50800
234	15526	50543
235	15621	50570
236	15637	50343
237	15752	50435
238	15860	50500
239	15965	50556
240	16075	50628
241	16136	50544
242	16145	50295
243	16239	50314
244	16325	50310
245	16438	50384
246	16524	50375
247	16609	50364
248	16681	50311
249	16687	50063
250	16790	50103
251	16894	50145
252	17006	50213
253	17087	50186
254	17171	50168
255	17280	50222
256	17299	50012
257	17387	50004
258	17491	50043
259	17599	50090
260	17610	49862
261	17696	49847
262	17801	49884
263	17877	49839
264	17974	49854
265	17988	49637
266	18029	49495
267	18114	49478
268	18193	49439
269	18218	49258
270	18295	49216
271	18394	49233
272	18509	49291
273	18610	49310
274	18705	49314
275	18725	49120
276	18834	49160
277	18874	49019
278	18976	49038
279	19063	49020
280	19148	48994
281	19251	49015
282	19324	48960
283	19412	48940
284	19509	48945
285	19594	48917
286	19683	48900
287	19776	48891
288	19863	48867
289	19940	48818
290	20035	48815
291	20045	48602
292	20054	48391
293	20070	48196
294	20158	48176
295	20259	48184
296	20346	48161
297	20430	48127
298	20520	48110
299	20610	48092
300	20702	48077
301	20771	48007
302	20847	47956
303	20915	47885
304	20995	47843
305	21017	47667
306	21109	47650
307	21199	47629
308	21303	47638
309	21415	47666
310	21508	47651
311	21614	47661
312	21638	47494
313	21739	47495
314	21837	47487
315	21933	47476
316	22028	47461
317	22113	47425
318	22185	47361
319	22248	47277
320	22276	47120
321	22385	47134
322	22474	47105
323	22564	47079
324	22645	47032
325	22761	47059
326	22783	46891
327	22845	46805
328	22892	46689
329	22973	46643
330	23052	46593
331	23126	46531
332	23215	46500
333	23292	46445
334	23362	46376
335	23460	46362
336	23544	46319
337	23634	46290
338	23703	46218
339	23731	46067
340	23802	45999
341	23869	45923
342	23933	45843
343	24015	45797
344	24097	45749
345	24142	45633
